drugtest,age,educate,fulltime,gender,race,married,income,south,sales,construc,othwork,mjuser
preemployment testing program,30,12,yes,female,non-white,not married,low,no,yes,no,construction or sales,no
no testing program,24,14,no,female,non-white,not married,medium or high,no,no,no,other occupation,yes
preemployment testing program,32,9,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,37,7,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,21,6,yes,male,non-white,not married,medium or high,no,no,yes,construction or sales,no
preemployment & random testing program,28,12,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,27,12,no,male,non-white,not married,medium or high,no,no,yes,construction or sales,no
no testing program,27,9,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,19,12,no,male,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,30,11,no,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,21,13,yes,female,non-white,not married,medium or high,yes,yes,no,construction or sales,yes
no testing program,32,11,no,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,24,11,no,female,non-white,married,medium or high,yes,yes,no,construction or sales,no
preemployment & random testing program,46,12,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,30,0,yes,male,non-white,married,medium or high,yes,no,yes,construction or sales,no
no testing program,20,13,no,male,non-white,not married,low,yes,no,no,other occupation,no
no testing program,41,12,no,female,non-white,not married,medium or high,yes,no,no,other occupation,no
random testing program,24,10,yes,male,non-white,married,medium or high,yes,no,no,other occupation,yes
preemployment & random testing program,30,12,yes,male,non-white,married,medium or high,yes,no,no,other occupation,yes
no testing program,39,12,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,45,12,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
preemployment testing program,23,13,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,28,11,yes,male,non-white,not married,low,yes,no,no,other occupation,no
no testing program,26,13,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,21,12,no,male,non-white,not married,medium or high,yes,no,no,other occupation,no
preemployment testing program,31,12,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,26,16,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,34,12,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,36,9,yes,male,non-white,married,low,yes,no,yes,construction or sales,no
no testing program,26,9,yes,male,non-white,not married,low,yes,no,yes,construction or sales,no
no testing program,19,10,no,male,non-white,not married,medium or high,yes,no,no,other occupation,yes
no testing program,33,6,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,39,12,no,female,non-white,married,low,yes,no,no,other occupation,no
no testing program,18,11,no,female,non-white,not married,medium or high,yes,yes,no,construction or sales,no
no testing program,20,11,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,28,6,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
preemployment testing program,31,11,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
preemployment testing program,20,12,no,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,20,12,yes,female,non-white,not married,medium or high,yes,yes,no,construction or sales,no
no testing program,42,16,no,female,non-white,not married,low,yes,no,no,other occupation,no
no testing program,22,12,yes,female,non-white,not married,medium or high,yes,yes,no,construction or sales,no
preemployment testing program,35,14,yes,male,non-white,not married,medium or high,yes,yes,no,construction or sales,no
no testing program,25,12,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,yes
random testing program,24,9,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,20,12,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,no
random testing program,55,13,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,18,9,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,no
preemployment testing program,27,11,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,26,16,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,24,13,no,female,non-white,married,medium or high,yes,no,no,other occupation,yes
no testing program,40,4,no,male,non-white,married,medium or high,yes,no,yes,construction or sales,no
no testing program,35,11,yes,male,non-white,not married,medium or high,yes,no,yes,construction or sales,no
preemployment & random testing program,29,6,no,male,non-white,married,medium or high,yes,no,yes,construction or sales,no
no testing program,21,12,yes,male,non-white,not married,medium or high,yes,no,yes,construction or sales,yes
preemployment testing program,23,10,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,28,10,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,30,9,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,30,14,no,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,30,6,yes,female,non-white,not married,low,yes,no,no,other occupation,no
preemployment & random testing program,21,12,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,40,0,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
preemployment testing program,36,11,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,21,7,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
random testing program,23,16,yes,male,white,not married,medium or high,no,no,no,other occupation,no
no testing program,29,12,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,32,12,no,male,white,not married,medium or high,no,no,no,other occupation,yes
preemployment & random testing program,27,12,yes,male,white,not married,medium or high,no,no,no,other occupation,no
no testing program,44,14,yes,female,white,married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,40,17,yes,male,white,married,medium or high,no,no,no,other occupation,no
no testing program,32,17,no,female,white,married,medium or high,no,no,no,other occupation,no
no testing program,26,14,no,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,25,12,yes,female,white,married,medium or high,no,yes,no,construction or sales,yes
preemployment testing program,28,16,yes,female,white,not married,medium or high,yes,yes,no,construction or sales,no
no testing program,27,14,no,male,white,not married,medium or high,yes,yes,no,construction or sales,no
no testing program,25,15,yes,male,white,not married,medium or high,yes,yes,no,construction or sales,yes
preemployment & random testing program,41,2,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,27,15,yes,female,white,married,medium or high,no,yes,no,construction or sales,no
preemployment & random testing program,43,6,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,23,16,yes,female,white,married,medium or high,yes,no,no,other occupation,no
no testing program,36,16,yes,female,white,not married,medium or high,yes,yes,no,construction or sales,yes
no testing program,47,17,no,female,white,married,medium or high,yes,no,no,other occupation,no
no testing program,44,17,yes,female,white,not married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,42,14,yes,female,white,not married,medium or high,yes,no,no,other occupation,no
no testing program,48,5,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,43,14,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment testing program,28,11,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment testing program,24,16,yes,female,white,married,medium or high,yes,no,no,other occupation,no
no testing program,26,13,yes,female,white,not married,medium or high,yes,no,no,other occupation,no
preemployment testing program,30,13,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,34,9,no,male,non-white,not married,low,no,no,no,other occupation,yes
